Name,GID,Team,Modified,Members
16585 FY22-23 PS Email Calendar Overview,1201980928823648,Honda PS Emails,2023-07-25T20:03:14.491Z,"[{'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}, {'gid': '1202082193459252', 'resource_type': 'user'}]"
P001183 Website Maintenance (FY24),1201694888334813,Honda Digital,2024-02-15T23:34:04.036Z,"[{'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '1201881782049448', 'resource_type': 'user'}, {'gid': '1201822933492231', 'resource_type': 'user'}, {'gid': '1201639845710973', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201355885843592', 'resource_type': 'user'}, {'gid': '1202342087773978', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1203901162757292', 'resource_type': 'user'}, {'gid': '1201881980071466', 'resource_type': 'user'}, {'gid': '1202965675746860', 'resource_type': 'user'}, {'gid': '1201896573439293', 'resource_type': 'user'}, {'gid': '1204419554292115', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}]"
Studio Services,1201737907099605,Creative,2023-07-25T20:02:39.132Z,"[{'gid': '1201273468880094', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}]"
HPS Creative Planning/Concepting TEMPLATE,1202029328064662,Z-DELETE Honda Asana Templates ONLY,2023-10-09T14:47:55.513Z,"[{'gid': '1201602920261772', 'resource_type': 'user'}]"
Team Goals & Milestones,1201419888491769,VN Dev Team,2024-01-12T15:25:07.421Z,[]
Bug Tracking,1201433818367443,VN Dev Team,2023-07-25T20:10:21.732Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}]"
Software & System Deployment,1201433818367481,VN Dev Team,2023-07-25T20:10:21.756Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}]"
Software Implementation,1201433818367510,VN Dev Team,2023-07-25T20:10:21.776Z,"[{'gid': '1201392040379430', 'resource_type': 'user'}]"
Asana Engagement Plan,1201615529607576,Asana Training Team,2024-01-12T15:25:07.644Z,"[{'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201348973435981', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1202599831317395', 'resource_type': 'user'}]"
[DEV - P000893] StackInfra [Sprint],1201617206361387,STACK Infrastructure,2024-01-12T15:24:53.945Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}]"
Working Tasks,1201605155814798,Z-DELETE Techlead,2023-07-25T20:09:56.667Z,"[{'gid': '1201371484381708', 'resource_type': 'user'}]"
